user.cs_path: /usr/bin:/bin:/usr/sbin:/sbin
kern.timer.deadline_tracking_bin_2: 5000000
kern.timer.scan_limit: 400000
kern.timer.scan_interval: 40000
kern.timer.scan_pauses: 0
kern.timer.scan_postpones: 0
kern.dtrace.err_verbose: 0
kern.dtrace.buffer_memory_maxsize: 5726623061
kern.dtrace.buffer_memory_inuse: 0
kern.dtrace.difo_maxsize: 262144
kern.dtrace.dof_maxsize: 524288
kern.dtrace.global_maxsize: 16384
kern.dtrace.provide_private_probes: 1
kern.dtrace.dof_mode: 1
kern.dtrace.ignore_fbt_blacklist: 0
kern.cpc.secure: 0
kern.skywalk.flowswitch.rx_agg_tcp: 16384
kern.skywalk.flowswitch.rx_agg_tcp_host: 2
kern.skywalk.flowswitch.gso_mtu: 16384
kern.skywalk.flowswitch.ip_reass: 2
kern.skywalk.flowswitch.ipfm_frag_ttl: 60
kern.skywalk.flowswitch.ipfm_timeout_tcall_ival: 1
kern.skywalk.flowswitch.flow_route_expire: 600
kern.skywalk.flowswitch.en0.ipfm.frag_limit: 1248
kern.skywalk.flowswitch.en0.ipfm.frag_count: 0
kern.skywalk.flowswitch.en0.ipfm.queue_limit: 624
kern.skywalk.flowswitch.en0.ipfm.queue_count: 0
kern.skywalk.flowswitch.en1.ipfm.frag_limit: 4576
kern.skywalk.flowswitch.en1.ipfm.frag_count: 0
kern.skywalk.flowswitch.en1.ipfm.queue_limit: 1024
kern.skywalk.flowswitch.en1.ipfm.queue_count: 0
kern.skywalk.flowswitch.ap1.ipfm.frag_limit: 4576
kern.skywalk.flowswitch.ap1.ipfm.frag_count: 0
kern.skywalk.flowswitch.ap1.ipfm.queue_limit: 1024
kern.skywalk.flowswitch.ap1.ipfm.queue_count: 0
kern.skywalk.flowswitch.awdl0.ipfm.frag_limit: 4576
kern.skywalk.flowswitch.awdl0.ipfm.frag_count: 0
kern.skywalk.flowswitch.awdl0.ipfm.queue_limit: 1024
kern.skywalk.flowswitch.awdl0.ipfm.queue_count: 0
kern.skywalk.netif.netif_queue_stat_enable: 0
kern.skywalk.netif.default_drop: 0
kern.skywalk.ring_stat_enable: 0
kern.microstackshot.interrupt_sample_rate: 1
kern.microstackshot.pmi_sample_period: 12000000000
kern.microstackshot.pmi_sample_counter: 1
kern.entropy.health.repetition_count_test.reset_count: 2879148719
kern.entropy.health.repetition_count_test.failure_count: 0
kern.entropy.health.repetition_count_test.max_observation_count: 5
kern.entropy.health.adaptive_proportion_test.reset_count: 5667454
kern.entropy.health.adaptive_proportion_test.failure_count: 0
kern.entropy.health.adaptive_proportion_test.max_observation_count: 23
kern.entropy.health.startup_done: 1
kern.entropy.filter.total_sample_count: 2905238811
kern.entropy.filter.accepted_sample_count: 2901633723
kern.entropy.filter.rejected_sample_count: 3605088
kern.entropy.analysis.supported: 0
kern.kdbg.debug: 0
kern.kdbg.oldest_time: 0
kern.zleak.active: 0
kern.zleak.zone_threshold: 805306368
kern.monotonic.supported: 1
kern.monotonic.pmis: 189469 0
kern.monotonic.retrograde_updates: 189469 0
kern.monotonic.task_thread_counting: 1
kern.eventhandler.debug: 0
kern.proc_rsr_in_progress: 0
kern.hv_vmm_present: 0
kern.secure_kernel: 0
kern.interrupt_timer_coalescing_enabled: 1
kern.timer_coalesce_idle_entry_hard_deadline_max: 5000000
kern.willuserspacereboot: 0
kern.hibernatefile: 
kern.bootsignature: 
kern.hibernatemode: 0
kern.hibernategraphicsready: 0
kern.hibernatewakenotification: 0
kern.hibernatelockscreenready: 0
kern.hibernatehidready: 0
kern.hibernatecount: 0
kern.nbuf: 16384
kern.maxnbuf: 16384
kern.flush_cache_on_write: 0
kern.wq_stalled_window_usecs: 200
kern.wq_reduce_pool_window_usecs: 5000000
kern.wq_max_timer_interval_usecs: 50000
kern.wq_max_threads: 512
kern.wq_max_constrained_threads: 80
kern.ds_supgroups_supported: 1
kern.sugid_scripts: 0
kern.libmalloc_experiments: 0
kern.initproc_spawned: 1
kern.uuid: F73CFE5A-7EF6-3C21-AFA7-742645B733CC
kern.system_version_compat: 0
kern.osproductversioncompat: 10.16
kern.osproductversion: 14.2.1
kern.osreleasetype: User
kern.iossupportversion: 17.2
kern.bootargs: 
kern.kernelcacheuuid: AC72E689-0DF1-AED7-DE25-A85E78E36F04
kern.systemfilesetuuid: CC922F06-0DF4-898C-7328-F69C419EC59F
kern.auxiliaryfilesetuuid: 6ED5A63E-82BF-7EE5-043F-75D5019328F8
kern.filesetuuid: AC72E689-0DF1-AED7-DE25-A85E78E36F04
kern.num_files: 7045
kern.num_vnodes: 263168
kern.num_tasks: 4096
kern.num_threads: 20480
kern.num_taskthreads: 4096
kern.num_recycledvnodes: 116077261
kern.free_vnodes: 216504
kern.namecache_disabled: 0
kern.sched_enable_smt: 1
kern.sched_allow_NO_SMT_threads: 1
kern.sched_rt_avoid_cpu0: 1
kern.sched_recommended_cores: -1
kern.suspend_cluster_powerdown: 0
kern.preheat_max_bytes: 1048576
kern.preheat_min_bytes: 32768
kern.speculative_prefetch_max: 201326592
kern.speculative_prefetch_max_iosize: 524288
kern.vm_page_free_target: 4000
kern.vm_page_free_min: 3500
kern.vm_page_free_reserved: 912
kern.vm_page_speculative_percentage: 5
kern.vm_page_speculative_q_age_ms: 500
kern.vm_max_delayed_work_limit: 32
kern.vm_max_batch: 256
kern.bootsessionuuid: A939E56C-024E-4B8C-BD84-A4A8759E37EA
kern.bootuuid: 11E2A91B-5CAA-4C5A-9D26-060C3DA5784A
kern.apfsprebootuuid: 11E2A91B-5CAA-4C5A-9D26-060C3DA5784A
kern.bootobjectspath: 11E2A91B-5CAA-4C5A-9D26-060C3DA5784A
kern.drivercorefile: /private/var/dextcores/%N.core
kern.vfsnspace: 0
kern.singleuser: 0
kern.minimalboot: 0
kern.affinity_sets_enabled: 1
kern.affinity_sets_mapping: 1
kern.slide: 1
kern.ipc_voucher_trace_contents: 0
kern.stack_size: 16384
kern.stack_depth_max: 10712
kern.kern_feature_overrides: 0
kern.ipc_portbt: 0
kern.ikm_signature_failures: 0
kern.ikm_signature_failure_id: 0
kern.sched: dualq
kern.cpu_checkin_interval: 5000
kern.precise_user_kernel_time: 1
kern.pervasive_energy: 0
kern.timer_coalesce_bg_scale: -5
kern.timer_resort_threshold_ns: 50000000
kern.timer_coalesce_bg_ns_max: 100000000
kern.timer_coalesce_kt_scale: 3
kern.timer_coalesce_kt_ns_max: 1000000
kern.timer_coalesce_fp_scale: 3
kern.timer_coalesce_fp_ns_max: 1000000
kern.timer_coalesce_ts_scale: 3
kern.timer_coalesce_ts_ns_max: 1000000
kern.timer_coalesce_tier0_scale: 3
kern.timer_coalesce_tier0_ns_max: 1000000
kern.timer_coalesce_tier1_scale: 2
kern.timer_coalesce_tier1_ns_max: 5000000
kern.timer_coalesce_tier2_scale: 1
kern.timer_coalesce_tier2_ns_max: 20000000
kern.timer_coalesce_tier3_scale: -2
kern.timer_coalesce_tier3_ns_max: 75000000
kern.timer_coalesce_tier4_scale: -15
kern.timer_coalesce_tier4_ns_max: 10000000000
kern.timer_coalesce_tier5_scale: -15
kern.timer_coalesce_tier5_ns_max: 10000000000
kern.hv_support: 1
kern.hv_disable: 0
kern.link_time_optimized: 1
kern.thread_groups_supported: 0
kern.direct_handoff: 1
kern.num_static_scalable_counters: 48
kern.trial_treatment_id: 
kern.trial_experiment_id: 
kern.trial_deployment_id: -1
kern.page_protection_type: 0
kern.exclaves_status: 255
kern.memorystatus_sysprocs_idle_delay_time: 10
kern.memorystatus_apps_idle_delay_time: 10
kern.jetsam_aging_policy: 2
kern.memorystatus_level: 79
kern.memorystatus_purge_on_warning: 2
kern.memorystatus_purge_on_urgent: 5
kern.memorystatus_purge_on_critical: 8
kern.vm_pressure_level_transition_threshold: 30
kern.stackshot_estimate_adj: 75
kern.msgbuf: 131072
kern.task_exc_guard_default: 153
kern.ulock_adaptive_spin_usecs: 20
kern.consoleoptions: 0
kern.aotmodebits: 0
kern.aotmode: 0
kern.pmtimeout: 0
kern.pmcallouttimer: 2000
kern.iokittest: 0
kern.sleeptime: { sec = 0, usec = 0 } Wed Dec 31 16:00:00 1969
kern.waketime: { sec = 0, usec = 0 } Wed Dec 31 16:00:00 1969
kern.wake_abs_time: 0
kern.sleep_abs_time: 0
kern.useractive_abs_time: 2403798188893591
kern.userinactive_abs_time: 2376545361891456
kern.willshutdown: 0
kern.progressmeterenable: 0
kern.progressmeter: 487
kern.prng.scheduled_reseed_count: 108416
kern.prng.scheduled_reseed_max_sample_count: 106738772
kern.prng.entropy_max_sample_count: 2623
kern.prng.pool_0.sample_count: 0
kern.prng.pool_0.drain_count: 108416
kern.prng.pool_0.max_sample_count: 2619
kern.prng.pool_1.sample_count: 627
kern.prng.pool_1.drain_count: 54208
kern.prng.pool_1.max_sample_count: 5210
kern.prng.pool_2.sample_count: 772
kern.prng.pool_2.drain_count: 27104
kern.prng.pool_2.max_sample_count: 9340
kern.prng.pool_3.sample_count: 641
kern.prng.pool_3.drain_count: 13552
kern.prng.pool_3.max_sample_count: 17736
kern.prng.pool_4.sample_count: 823
kern.prng.pool_4.drain_count: 6776
kern.prng.pool_4.max_sample_count: 30727
kern.prng.pool_5.sample_count: 588
kern.prng.pool_5.drain_count: 3388
kern.prng.pool_5.max_sample_count: 57610
kern.prng.pool_6.sample_count: 593
kern.prng.pool_6.drain_count: 1694
kern.prng.pool_6.max_sample_count: 110444
kern.prng.pool_7.sample_count: 634
kern.prng.pool_7.drain_count: 847
kern.prng.pool_7.max_sample_count: 205023
kern.prng.pool_8.sample_count: 95730
kern.prng.pool_8.drain_count: 423
kern.prng.pool_8.max_sample_count: 410644
kern.prng.pool_9.sample_count: 274623
kern.prng.pool_9.drain_count: 211
kern.prng.pool_9.max_sample_count: 700213
kern.prng.pool_10.sample_count: 815611
kern.prng.pool_10.drain_count: 105
kern.prng.pool_10.max_sample_count: 1225026
kern.prng.pool_11.sample_count: 1853455
kern.prng.pool_11.drain_count: 52
kern.prng.pool_11.max_sample_count: 2152433
kern.prng.pool_12.sample_count: 1901262
kern.prng.pool_12.drain_count: 26
kern.prng.pool_12.max_sample_count: 3984856
kern.prng.pool_13.sample_count: 1863562
kern.prng.pool_13.drain_count: 13
kern.prng.pool_13.max_sample_count: 7511767
kern.prng.pool_14.sample_count: 9333306
kern.prng.pool_14.drain_count: 6
kern.prng.pool_14.max_sample_count: 14438488
kern.prng.pool_15.sample_count: 9225949
kern.prng.pool_15.drain_count: 3
kern.prng.pool_15.max_sample_count: 28720450
kern.prng.pool_16.sample_count: 36778311
kern.prng.pool_16.drain_count: 1
kern.prng.pool_16.max_sample_count: 54046780
kern.prng.pool_17.sample_count: 90631201
kern.prng.pool_17.drain_count: 0
kern.prng.pool_17.max_sample_count: 90631201
kern.prng.pool_18.sample_count: 90530810
kern.prng.pool_18.drain_count: 0
kern.prng.pool_18.max_sample_count: 90530810
kern.prng.pool_19.sample_count: 90463439
kern.prng.pool_19.drain_count: 0
kern.prng.pool_19.max_sample_count: 90463439
kern.prng.pool_20.sample_count: 90522515
kern.prng.pool_20.drain_count: 0
kern.prng.pool_20.max_sample_count: 90522515
kern.prng.pool_21.sample_count: 90764434
kern.prng.pool_21.drain_count: 0
kern.prng.pool_21.max_sample_count: 90764434
kern.prng.pool_22.sample_count: 90602685
kern.prng.pool_22.drain_count: 0
kern.prng.pool_22.max_sample_count: 90602685
kern.prng.pool_23.sample_count: 90683394
kern.prng.pool_23.drain_count: 0
kern.prng.pool_23.max_sample_count: 90683394
kern.prng.pool_24.sample_count: 90670326
kern.prng.pool_24.drain_count: 0
kern.prng.pool_24.max_sample_count: 90670326
kern.prng.pool_25.sample_count: 90608832
kern.prng.pool_25.drain_count: 0
kern.prng.pool_25.max_sample_count: 90608832
kern.prng.pool_26.sample_count: 90596908
kern.prng.pool_26.drain_count: 0
kern.prng.pool_26.max_sample_count: 90596908
kern.prng.pool_27.sample_count: 90534444
kern.prng.pool_27.drain_count: 0
kern.prng.pool_27.max_sample_count: 90534444
kern.prng.pool_28.sample_count: 90767939
kern.prng.pool_28.drain_count: 0
kern.prng.pool_28.max_sample_count: 90767939
kern.prng.pool_29.sample_count: 90676983
kern.prng.pool_29.drain_count: 0
kern.prng.pool_29.max_sample_count: 90676983
kern.prng.pool_30.sample_count: 90698710
kern.prng.pool_30.drain_count: 0
kern.prng.pool_30.max_sample_count: 90698710
kern.prng.pool_31.sample_count: 90783444
kern.prng.pool_31.drain_count: 0
kern.prng.pool_31.max_sample_count: 90783444
kern.crypto.sha1: SHA1_VNG_INTEL_AVX2
kern.crypto.sha256: SHA256_VNG_INTEL_AVX2
kern.crypto.sha384: SHA384_VNG_INTEL_AVX2
kern.crypto.sha512: SHA512_VNG_INTEL_AVX2
kern.crypto.aes.ecb.encrypt: AES_ECB_INTEL_AESNI
kern.crypto.aes.ecb.decrypt: AES_ECB_INTEL_AESNI
kern.crypto.aes.xts.encrypt: AES_XTS_INTEL_AESNI
kern.crypto.aes.xts.decrypt: AES_XTS_INTEL_AESNI
kern.pthread_mutex_default_policy: 0
kern.hv.vmx_mitigations: 22
kern.hv.vmx_supported_mitigations: 62
kern.hv.clock.tsc_base: 557083621956
kern.hv.clock.tsc_clock_last: 0
kern.hv.clock.generation: 1
vm.loadavg: { 1.36 1.37 1.41 }
vm.swapusage: total = 4608.00M  used = 3725.00M  free = 883.00M  (encrypted)
vm.cs_executable_create_upl: 0
vm.cs_executable_wire: 0
vm.apple_protect_pager_count: 4
vm.apple_protect_pager_count_mapped: 4
vm.apple_protect_pager_cache_limit: 20
vm.vm_do_collapse_compressor: 456
vm.vm_do_collapse_compressor_pages: 3460
vm.vm_do_collapse_terminate: 456
vm.vm_do_collapse_terminate_failure: 0
vm.vm_should_cow_but_wired: 0
vm.vm_create_upl_extra_cow: 2336
vm.vm_create_upl_extra_cow_pages: 37376
vm.vm_create_upl_lookup_failure_write: 0
vm.vm_create_upl_lookup_failure_copy: 0
vm.vm_debug_events: 0
vm.shared_region_unnest_logging: 1
vm.shared_region_trace_level: 1
vm.shared_region_version: 3
vm.shared_region_persistence: 0
vm.pagesize: 4096
vm.vm_page_free_target: 4000
vm.memory_pressure: 0
vm.page_free_wanted: 0
vm.page_purgeable_count: 14822
vm.page_purgeable_wired_count: 16
vm.kern_lpage_count: 116
vm.madvise_free_debug: 0
vm.madvise_free_debug_sometimes: 0
vm.page_reusable_count: 420364
vm.reusable_success: 2054079413
vm.reusable_failure: 3774753
vm.reusable_pages_shared: 738533
vm.all_reusable_calls: 0
vm.partial_reusable_calls: 2057513569
vm.reuse_success: 46344856
vm.reuse_failure: 0
vm.all_reuse_calls: 0
vm.partial_reuse_calls: 44804132
vm.can_reuse_success: 13675432
vm.can_reuse_failure: 1598
vm.reusable_reclaimed: 0
vm.reusable_nonwritable: 3765636
vm.reusable_shared: 3073830
vm.free_shared: 105
vm.page_free_count: 251376
vm.page_speculative_count: 9419
vm.page_cleaned_count: 0
vm.page_pageable_internal_count: 1892768
vm.page_pageable_external_count: 1205051
vm.pageout_inactive_clean: 106094945
vm.pageout_inactive_used: 14942501
vm.pageout_inactive_dirty_internal: 39152341
vm.pageout_inactive_dirty_external: 163624
vm.pageout_speculative_clean: 81303062
vm.pageout_freed_external: 15571091
vm.pageout_freed_speculative: 81303062
vm.pageout_freed_cleaned: 374143
vm.pageout_protected_sharedcache: 0
vm.pageout_forcereclaimed_sharedcache: 247
vm.pageout_protected_realtime: 0
vm.pageout_forcereclaimed_realtime: 0
vm.page_realtime_count: 7883
vm.pageout_protect_realtime: 1
vm.prefault_nb_pages: 0
vm.prefault_nb_bailout: 0
vm.vm_clump_promote_threshold: 4
vm.vm_min_kernel_address: 18446743521806254080
vm.vm_max_kernel_address: 18446744073709547519
vm.pages: 4025652
vm.page_busy_absent_skipped: 0
vm.upl_pages_tainted: 0
vm.iopl_pages_tainted: 0
vm.corpse_footprint_count: 43
vm.corpse_footprint_size_avg: 401362
vm.corpse_footprint_size_max: 539672
vm.corpse_footprint_full: 0
vm.corpse_footprint_no_buf: 0
vm.shared_region_pager_copied: 0
vm.shared_region_pager_slid: 223996
vm.shared_region_pager_slid_error: 0
vm.shared_region_pager_reclaimed: 198461
vm.shared_region_destroy_delay: 120
vm.map_lookup_locked_copy_slowly_count: 0
vm.map_lookup_locked_copy_slowly_size: 0
vm.map_lookup_locked_copy_slowly_max: 0
vm.map_lookup_locked_copy_slowly_restart: 0
vm.map_lookup_locked_copy_slowly_error: 0
vm.map_lookup_locked_copy_strategically_count: 1048838
vm.map_lookup_locked_copy_strategically_size: 2199505862656
vm.map_lookup_locked_copy_strategically_max: 2097152
vm.map_lookup_locked_copy_strategically_restart: 0
vm.map_lookup_locked_copy_strategically_error: 0
vm.map_lookup_locked_copy_shadow_count: 8235146
vm.map_lookup_locked_copy_shadow_size: 16927644401664
vm.map_lookup_locked_copy_shadow_max: 57704448
vm.protect_privileged_from_untrusted: 1
vm.copied_on_read: 1
vm.shared_region_count: 2
vm.shared_region_peak: 2
vm.map_set_size_limit_count: 0
vm.map_set_data_limit_count: 0
vm.map_enter_RLIMIT_AS_count: 0
vm.map_enter_RLIMIT_DATA_count: 0
vm.fault_resilient_media_initiate: 0
vm.fault_resilient_media_retry: 0
vm.fault_resilient_media_proceed: 0
vm.fault_resilient_media_release: 0
vm.fault_resilient_media_abort1: 0
vm.fault_resilient_media_abort2: 0
vm.pmap_query_page_info_retries: 0
vm.shared_region_pivot: 0
vm.object_shadow_forced: 5535542
vm.object_shadow_skipped: 778100
vm.vmtc_total: 0
vm.map_range_overflows_count: 36
vm.map_range_oveflows_log: 0
vm.c_seg_filled_no_contention: 432572
vm.c_seg_filled_contention: 458
vm.c_seg_filled_contention_sec_max: 0
vm.c_seg_filled_contention_nsec_max: 135188
vm.panic_ws_crash: 0
vm.wk_mzv_compressions: 0
vm.cs_force_kill: 0
vm.cs_force_hard: 0
vm.cs_debug: 0
vm.cs_debug_fail_on_unsigned_code: 0
vm.cs_debug_unsigned_exec_failures: 0
vm.cs_debug_unsigned_mmap_failures: 0
vm.cs_all_vnodes: 0
vm.cs_system_enforcement: 1
vm.cs_process_enforcement: 0
vm.cs_enforcement_panic: 0
vm.cs_library_validation: 0
vm.swap_enabled: 1
vm.global_user_wire_limit: 13056700579
vm.user_wire_limit: 13056700579
vm.global_no_user_wire_amount: 4123168605
vm.add_wire_count_over_global_limit: 0
vm.add_wire_count_over_user_limit: 0
vm.vm_copy_src_not_internal: 0
vm.vm_copy_src_not_symmetric: 32
vm.vm_copy_src_large: 42762
vm.vm_page_external_count: 1210001
vm.vm_page_filecache_min: 1235066
vm.vm_page_xpmapped_min: 330852
vm.compressor_input_bytes: 160356753408
vm.compressor_compressed_bytes: 112944715288
vm.compressor_bytes_used: 390602664
vm.compressor_mode: 4
vm.compressor_is_active: 1
vm.compressor_swapout_target_age: 0
vm.compressor_available: 1
vm.compressor_segment_buffer_size: 262144
vm.compressor_pool_size: 68719476736
vm.compressor_min_csegs_per_major_compaction: 30
vm.vm_ripe_target_age_in_secs: 172800
vm.compressor_eval_period_in_msecs: 250
vm.compressor_sample_min_in_msecs: 500
vm.compressor_sample_max_in_msecs: 10000
vm.compressor_thrashing_threshold_per_10msecs: 50
vm.compressor_thrashing_min_per_10msecs: 20
vm.compressor_swapouts_under_30s: 18842
vm.compressor_swapouts_under_60s: 0
vm.compressor_swapouts_under_300s: 0
vm.compressor_swapper_reclaim_swapins: 5726
vm.compressor_swapper_defrag_swapins: 5655
vm.compressor_swapper_swapout_threshold_exceeded: 0
vm.compressor_swapper_swapout_fileq_throttled: 0
vm.compressor_swapper_swapout_free_count_low: 0
vm.compressor_swapper_swapout_thrashing_detected: 102072
vm.compressor_swapper_swapout_fragmentation_detected: 1
vm.swapfileprefix: /System/Volumes/VM/swapfile
vm.compressor_timing_enabled: 0
vm.vm_page_donate_mode: 1
vm.vm_page_donate_target_high: 524288
vm.vm_page_donate_target_low: 100
vm.lz4_compressions: 0
vm.lz4_compression_failures: 0
vm.lz4_compressed_bytes: 0
vm.lz4_wk_compression_delta: 0
vm.lz4_wk_compression_negative_delta: 0
vm.lz4_decompressions: 0
vm.lz4_decompressed_bytes: 0
vm.uc_decompressions: 0
vm.wk_compressions: 0
vm.wk_catime: 0
vm.wkh_catime: 0
vm.wkh_compressions: 0
vm.wks_catime: 0
vm.wks_compressions: 0
vm.wk_compressions_exclusive: 0
vm.wk_sv_compressions: 0
vm.wk_compression_failures: 0
vm.wk_compressed_bytes_exclusive: 0
vm.wk_compressed_bytes_total: 0
vm.wks_compressed_bytes: 0
vm.wks_compression_failures: 0
vm.wks_sv_compressions: 0
vm.wk_decompressions: 0
vm.wk_datime: 0
vm.wkh_datime: 0
vm.wkh_decompressions: 0
vm.wks_datime: 0
vm.wks_decompressions: 0
vm.wk_decompressed_bytes: 0
vm.wk_sv_decompressions: 0
vm.lz4_threshold: 2048
vm.wkdm_reeval_threshold: 1536
vm.lz4_max_failure_skips: 0
vm.lz4_max_failure_run_length: -1
vm.lz4_max_preselects: 0
vm.lz4_run_preselection_threshold: -1
vm.lz4_run_continue_bytes: 0
vm.lz4_profitable_bytes: 0
vm.vm_page_background_mode: 1
vm.vm_page_background_exclude_external: 0
vm.vm_page_background_target: 50000
vm.vm_page_background_count: 253182
vm.vm_page_background_internal_count: 111639
vm.vm_page_background_external_count: 141543
vm.vm_page_background_promoted_count: 7729932
vm.vm_pageout_considered_bq_internal: 32241824
vm.vm_pageout_considered_bq_external: 8196487
vm.vm_pageout_rejected_bq_internal: 0
vm.vm_pageout_rejected_bq_external: 0
vm.darkwake_mode: 0
vm.cs_blob_count: 1174
vm.cs_blob_size: 73408618
vm.cs_blob_count_peak: 1356
vm.cs_blob_size_peak: 77731882
vm.cs_blob_size_max: 6750208
vfs.generic.maxtypenum: 31
vfs.generic.nfs.server.wg_delay: 1000
vfs.generic.nfs.server.wg_delay_v3: 0
vfs.generic.nfs.server.require_resv_port: 0
vfs.generic.nfs.server.async: 0
vfs.generic.nfs.server.export_hash_size: 64
vfs.generic.nfs.server.reqcache_size: 64
vfs.generic.nfs.server.request_queue_length: 128
vfs.generic.nfs.server.user_stats: 1
vfs.generic.nfs.server.gss_context_ttl: 28800
vfs.generic.nfs.server.debug_ctl: 0
vfs.generic.nfs.server.unprocessed_rpc_current: 0
vfs.generic.nfs.server.unprocessed_rpc_max: 67108864
vfs.generic.nfs.server.fsevents: 1
vfs.generic.nfs.server.nfsd_thread_max: 0
vfs.generic.nfs.server.nfsd_thread_count: 0
vfs.generic.nfs.server.nfsd_sock_idle_timeout: 3600
vfs.generic.nfs.server.nfsd_tcp_connections: 0
vfs.generic.nfs.server.use_upcall_svc: 1
vfs.generic.nfs.server.upcall_queue_limit: 0
vfs.generic.nfs.server.upcall_queue_max_seen: 0
vfs.generic.nfs.server.upcall_queue_count: 0
vfs.generic.nfs.client.uninterruptible_pagein: 0
vfs.generic.nfs.client.default_nfs4domain: 
vfs.generic.nfs.client.root_steals_gss_context: 0
vfs.generic.nfs.client.readlink_nocache: 0
vfs.generic.nfs.client.debug_ctl: 0
vfs.generic.nfs.client.tcp_sockbuf: 131072
vfs.generic.nfs.client.split_open_owner: 0
vfs.generic.nfs.client.squishy_flags: 11
vfs.generic.nfs.client.is_mobile: 0
vfs.generic.nfs.client.callback_port: 0
vfs.generic.nfs.client.idmap_ctrl: 1
vfs.generic.nfs.client.access_for_getattr: 0
vfs.generic.nfs.client.access_dotzfs: 1
vfs.generic.nfs.client.access_delete: 1
vfs.generic.nfs.client.max_async_writes: 128
vfs.generic.nfs.client.lockd_mounts: 0
