"General
Memories"	"Receive
Frequency"	"Op
Mode"	"RPT
Shift"	"RPT
Offset"	"Transmit
Frequency"	"Encoding
Method"	"CTCSS
Tone"	"DCS
Code"	"Show
Name"	"Memory
Name"	"Transmit
Power"	"Scan
Skip"	"Tuning
Step"	"Clk
Shift"	"Memory
Description"	"Bank 1 
 "	"Bank 2 
 "	"Bank 3 
 "	"Bank 4 
 "	"Bank 5 
 "	"Bank 6 
 "	"Bank 7 
 "	"Bank 8 
 "	"Bank 9 
 "	"Bank 10 
 "
130	Empty																								
131	Empty																								
132	Empty																								
133	Empty																								
134	Empty																								
135	Empty																								
136	Empty																								
137	Empty																								
138	Empty																								
139	Empty																								
140	Empty																								
141	Empty																								
142	Empty																								
143	Empty																								
144	Empty																								
145	Empty																								
146	Empty																								
147	Empty																								
148	Empty																								
149	Empty																								
150	Empty																								
151	Empty																								
152	Empty																								
153	Empty																								
154	Empty																								
155	Empty																								
156	Empty																								
157	Empty																								
158	Empty																								
159	Empty																								
160	Empty																								
161	Empty																								
162	Empty																								
163	Empty																								
164	Empty																								
165	Empty																								
166	Empty																								
167	Empty																								
168	Empty																								
169	Empty																								
170	Empty																								
171	Empty																								
172	Empty																								
173	Empty																								
174	Empty																								
175	Empty																								
176	Empty																								
177	Empty																								
178	Empty																								
179	Empty																								
180	Empty																								
181	Empty																								
182	Empty																								
183	Empty																								
184	Empty																								
185	Empty																								
186	Empty																								
187	Empty																								
188	Empty																								
189	Empty																								
190	Empty																								
191	Empty																								
192	Empty																								
193	Empty																								
194	Empty																								
195	Empty																								
196	Empty																								
197	Empty																								
198	Empty																								
199	Empty																								
200	Empty																								
201	Empty																								
202	Empty																								
203	Empty																								
204	Empty																								
205	Empty																								
206	Empty																								
207	Empty																								
208	Empty																								
209	Empty																								
210	Empty																								
211	Empty																								
212	Empty																								
213	Empty																								
214	Empty																								
215	Empty																								
216	Empty																								
217	Empty																								
218	Empty																								
219	Empty																								
220	Empty																								
221	Empty																								
222	Empty																								
223	Empty																								
224	Empty																								
225	Empty																								
226	Empty																								
227	Empty																								
228	Empty																								
229	Empty																								
230	Empty																								
231	Empty																								
232	Empty																								
233	Empty																								
234	Empty																								
235	Empty																								
236	Empty																								
237	Empty																								
238	Empty																								
239	Empty																								
240	Empty																								
241	Empty																								
242	Empty																								
243	Empty																								
244	Empty																								
245	Empty																								
246	Empty																								
247	Empty																								
248	Empty																								
249	Empty																								
250	Empty																								
251	Empty																								
252	Empty																								
253	Empty																								
254	Empty																								
255	Empty																								
256	Empty																								
257	Empty																								
258	Empty																								
259	Empty																								
260	Empty																								
261	Empty																								
262	Empty																								
263	Empty																								
264	Empty																								
265	Empty																								
266	Empty																								
267	Empty																								
268	Empty																								
269	Empty																								
270	Empty																								
271	Empty																								
272	Empty																								
273	Empty																								
274	Empty																								
275	Empty																								
276	Empty																								
277	Empty																								
278	Empty																								
279	Empty																								
280	Empty																								
281	Empty																								
282	Empty																								
283	Empty																								
284	Empty																								
285	Empty																								
286	Empty																								
287	Empty																								
288	Empty																								
289	Empty																								
290	Empty																								
291	Empty																								
292	Empty																								
293	Empty																								
294	Empty																								
295	Empty																								
296	Empty																								
297	Empty																								
298	Empty																								
299	Empty																								
300	Empty																								
301	Empty																								
302	Empty																								
303	Empty																								
304	Empty																								
305	Empty																								
306	Empty																								
307	Empty																								
308	Empty																								
309	Empty																								
310	Empty																								
311	Empty																								
312	Empty																								
313	Empty																								
314	Empty																								
315	Empty																								
316	Empty																								
317	Empty																								
318	Empty																								
319	Empty																								
320	Empty																								
321	Empty																								
322	Empty																								
323	Empty																								
324	Empty																								
325	Empty																								
326	Empty																								
327	Empty																								
328	Empty																								
329	Empty																								
330	Empty																								
331	Empty																								
332	Empty																								
333	Empty																								
334	Empty																								
335	Empty																								
336	Empty																								
337	Empty																								
338	Empty																								
339	Empty																								
340	Empty																								
341	Empty																								
342	Empty																								
343	Empty																								
344	Empty																								
345	Empty																								
346	Empty																								
347	Empty																								
348	Empty																								
349	Empty																								
350	Empty																								
351	Empty																								
352	Empty																								
353	Empty																								
354	Empty																								
355	Empty																								
356	Empty																								
357	Empty																								
358	Empty																								
359	Empty																								
360	Empty																								
361	Empty																								
362	Empty																								
363	Empty																								
364	Empty																								
365	Empty																								
366	Empty																								
367	Empty																								
368	Empty																								
369	Empty																								
370	Empty																								
371	Empty																								
372	Empty																								
373	Empty																								
374	Empty																								
375	Empty																								
376	Empty																								
377	Empty																								
378	Empty																								
379	Empty																								
380	Empty																								
381	Empty																								
382	Empty																								
383	Empty																								
384	Empty																								
385	Empty																								
386	Empty																								
387	Empty																								
388	Empty																								
389	Empty																								
390	Empty																								
391	Empty																								
392	Empty																								
393	Empty																								
394	Empty																								
395	Empty																								
396	Empty																								
397	Empty																								
398	Empty																								
399	Empty																								
400	Empty																								
401	Empty																								
402	Empty																								
403	Empty																								
404	Empty																								
405	Empty																								
406	Empty																								
407	Empty																								
408	Empty																								
409	Empty																								
410	Empty																								
411	Empty																								
412	Empty																								
413	Empty																								
414	Empty																								
415	Empty																								
416	Empty																								
417	Empty																								
418	Empty																								
419	Empty																								
420	Empty																								
421	Empty																								
422	Empty																								
423	Empty																								
424	Empty																								
425	Empty																								
426	Empty																								
427	Empty																								
428	Empty																								
429	Empty																								
430	Empty																								
431	Empty																								
432	Empty																								
433	Empty																								
434	Empty																								
435	Empty																								
436	Empty																								
437	Empty																								
438	Empty																								
439	Empty																								
440	Empty																								
441	Empty																								
442	Empty																								
443	Empty																								
444	Empty																								
445	Empty																								
446	Empty																								
447	Empty																								
448	Empty																								
449	Empty																								
450	Empty																								
451	Empty																								
452	Empty																								
453	Empty																								
454	Empty																								
455	Empty																								
456	Empty																								
457	Empty																								
458	Empty																								
459	Empty																								
460	Empty																								
461	Empty																								
462	Empty																								
463	Empty																								
464	Empty																								
465	Empty																								
466	Empty																								
467	Empty																								
468	Empty																								
469	Empty																								
470	Empty																								
471	Empty																								
472	Empty																								
473	Empty																								
474	Empty																								
475	Empty																								
476	Empty																								
477	Empty																								
478	Empty																								
479	Empty																								
480	Empty																								
481	Empty																								
482	Empty																								
483	Empty																								
484	Empty																								
485	Empty																								
486	Empty																								
487	Empty																								
488	Empty																								
489	Empty																								
490	Empty																								
491	Empty																								
492	Empty																								
493	Empty																								
494	Empty																								
495	Empty																								
496	Empty																								
497	Empty																								
498	Empty																								
499	Empty																								
500	Empty																								
501	Empty																								
502	Empty																								
503	Empty																								
504	Empty																								
505	Empty																								
506	Empty																								
507	Empty																								
508	Empty																								
509	Empty																								
510	Empty																								
511	Empty																								
512	Empty																								
513	Empty																								
514	Empty																								
515	Empty																								
516	Empty																								
517	Empty																								
518	Empty																								
519	Empty																								
520	Empty																								
521	Empty																								
522	Empty																								
523	Empty																								
524	Empty																								
525	Empty																								
526	Empty																								
527	Empty																								
528	Empty																								
529	Empty																								
530	Empty																								
531	Empty																								
532	Empty																								
533	Empty																								
534	Empty																								
535	Empty																								
536	Empty																								
537	Empty																								
538	Empty																								
539	Empty																								
540	Empty																								
541	Empty																								
542	Empty																								
543	Empty																								
544	Empty																								
545	Empty																								
546	Empty																								
547	Empty																								
548	Empty																								
549	Empty																								
550	Empty																								
551	Empty																								
552	Empty																								
553	Empty																								
554	Empty																								
555	Empty																								
556	Empty																								
557	Empty																								
558	Empty																								
559	Empty																								
560	Empty																								
561	Empty																								
562	Empty																								
563	Empty																								
564	Empty																								
565	Empty																								
566	Empty																								
567	Empty																								
568	Empty																								
569	Empty																								
570	Empty																								
571	Empty																								
572	Empty																								
573	Empty																								
574	Empty																								
575	Empty																								
576	Empty																								
577	Empty																								
578	Empty																								
579	Empty																								
580	Empty																								
581	Empty																								
582	Empty																								
583	Empty																								
584	Empty																								
585	Empty																								
586	Empty																								
587	Empty																								
588	Empty																								
589	Empty																								
590	Empty																								
591	Empty																								
592	Empty																								
593	Empty																								
594	Empty																								
595	Empty																								
596	Empty																								
597	Empty																								
598	Empty																								
599	Empty																								
600	Empty																								
601	Empty																								
602	Empty																								
603	Empty																								
604	Empty																								
605	Empty																								
606	Empty																								
607	Empty																								
608	Empty																								
609	Empty																								
610	Empty																								
611	Empty																								
612	Empty																								
613	Empty																								
614	Empty																								
615	Empty																								
616	Empty																								
617	Empty																								
618	Empty																								
619	Empty																								
620	Empty																								
621	Empty																								
622	Empty																								
623	Empty																								
624	Empty																								
625	Empty																								
626	Empty																								
627	Empty																								
628	Empty																								
629	Empty																								
630	Empty																								
631	Empty																								
632	Empty																								
633	Empty																								
634	Empty																								
635	Empty																								
636	Empty																								
637	Empty																								
638	Empty																								
639	Empty																								
640	Empty																								
641	Empty																								
642	Empty																								
643	Empty																								
644	Empty																								
645	Empty																								
646	Empty																								
647	Empty																								
648	Empty																								
649	Empty																								
650	Empty																								
651	Empty																								
652	Empty																								
653	Empty																								
654	Empty																								
655	Empty																								
656	Empty																								
657	Empty																								
658	Empty																								
659	Empty																								
660	Empty																								
661	Empty																								
662	Empty																								
663	Empty																								
664	Empty																								
665	Empty																								
666	Empty																								
667	Empty																								
668	Empty																								
669	Empty																								
670	Empty																								
671	Empty																								
672	Empty																								
673	Empty																								
674	Empty																								
675	Empty																								
676	Empty																								
677	Empty																								
678	Empty																								
679	Empty																								
680	Empty																								
681	Empty																								
682	Empty																								
683	Empty																								
684	Empty																								
685	Empty																								
686	Empty																								
687	Empty																								
688	Empty																								
689	Empty																								
690	Empty																								
691	Empty																								
692	Empty																								
693	Empty																								
694	Empty																								
695	Empty																								
696	Empty																								
697	Empty																								
698	Empty																								
699	Empty																								
700	Empty																								
701	Empty																								
702	Empty																								
703	Empty																								
704	Empty																								
705	Empty																								
706	Empty																								
707	Empty																								
708	Empty																								
709	Empty																								
710	Empty																								
711	Empty																								
712	Empty																								
713	Empty																								
714	Empty																								
715	Empty																								
716	Empty																								
717	Empty																								
718	Empty																								
719	Empty																								
720	Empty																								
721	Empty																								
722	Empty																								
723	Empty																								
724	Empty																								
725	Empty																								
726	Empty																								
727	Empty																								
728	Empty																								
729	Empty																								
730	Empty																								
731	Empty																								
732	Empty																								
733	Empty																								
734	Empty																								
735	Empty																								
736	Empty																								
737	Empty																								
738	Empty																								
739	Empty																								
740	Empty																								
741	Empty																								
742	Empty																								
743	Empty																								
744	Empty																								
745	Empty																								
746	Empty																								
747	Empty																								
748	Empty																								
749	Empty																								
750	Empty																								
751	Empty																								
752	Empty																								
753	Empty																								
754	Empty																								
755	Empty																								
756	Empty																								
757	Empty																								
758	Empty																								
759	Empty																								
760	Empty																								
761	Empty																								
762	Empty																								
763	Empty																								
764	Empty																								
765	Empty																								
766	Empty																								
767	Empty																								
768	Empty																								
769	Empty																								
770	Empty																								
771	Empty																								
772	Empty																								
773	Empty																								
774	Empty																								
775	Empty																								
776	Empty																								
777	Empty																								
778	Empty																								
779	Empty																								
780	Empty																								
781	Empty																								
782	Empty																								
783	Empty																								
784	Empty																								
785	Empty																								
786	Empty																								
787	Empty																								
788	Empty																								
789	Empty																								
790	Empty																								
791	Empty																								
792	Empty																								
793	Empty																								
794	Empty																								
795	Empty																								
796	Empty																								
797	Empty																								
798	Empty																								
799	Empty																								
800	Empty																								
801	Empty																								
802	Empty																								
803	Empty																								
804	Empty																								
805	Empty																								
806	Empty																								
807	Empty																								
808	Empty																								
809	Empty																								
810	Empty																								
811	Empty																								
812	Empty																								
813	Empty																								
814	Empty																								
815	Empty																								
816	Empty																								
817	Empty																								
818	Empty																								
819	Empty																								
820	Empty																								
821	Empty																								
822	Empty																								
823	Empty																								
824	Empty																								
825	Empty																								
826	Empty																								
827	Empty																								
828	Empty																								
829	Empty																								
830	Empty																								
831	Empty																								
832	Empty																								
833	Empty																								
834	Empty																								
835	Empty																								
836	Empty																								
837	Empty																								
838	Empty																								
839	Empty																								
840	Empty																								
841	Empty																								
842	Empty																								
843	Empty																								
844	Empty																								
845	Empty																								
846	Empty																								
847	Empty																								
848	Empty																								
849	Empty																								
850	Empty																								
851	Empty																								
852	Empty																								
853	Empty																								
854	Empty																								
855	Empty																								
856	Empty																								
857	Empty																								
858	Empty																								
859	Empty																								
860	Empty																								
861	Empty																								
862	Empty																								
863	Empty																								
864	Empty																								
865	Empty																								
866	Empty																								
867	Empty																								
868	Empty																								
869	Empty																								
870	Empty																								
871	Empty																								
872	Empty																								
873	Empty																								
874	Empty																								
875	Empty																								
876	Empty																								
877	Empty																								
878	Empty																								
879	Empty																								
880	Empty																								
881	Empty																								
882	Empty																								
883	Empty																								
884	Empty																								
885	Empty																								
886	Empty																								
887	Empty																								
888	Empty																								
889	Empty																								
890	Empty																								
891	Empty																								
892	Empty																								
893	Empty																								
894	Empty																								
895	Empty																								
896	Empty																								
897	Empty																								
898	Empty																								
899	Empty																								
900	Empty																								
901	Empty																								
902	Empty																								
903	Empty																								
904	Empty																								
905	Empty																								
906	Empty																								
907	Empty																								
908	Empty																								
909	Empty																								
910	Empty																								
911	Empty																								
912	Empty																								
913	Empty																								
914	Empty																								
915	Empty																								
916	Empty																								
917	Empty																								
918	Empty																								
919	Empty																								
920	Empty																								
921	Empty																								
922	Empty																								
923	Empty																								
924	Empty																								
925	Empty																								
926	Empty																								
927	Empty																								
928	Empty																								
929	Empty																								
930	Empty																								
931	Empty																								
932	Empty																								
933	Empty																								
934	Empty																								
935	Empty																								
936	Empty																								
937	Empty																								
938	Empty																								
939	Empty																								
940	Empty																								
941	Empty																								
942	Empty																								
943	Empty																								
944	Empty																								
945	Empty																								
946	Empty																								
947	Empty																								
948	Empty																								
949	Empty																								
950	Empty																								
951	Empty																								
952	Empty																								
953	Empty																								
954	Empty																								
955	Empty																								
956	Empty																								
957	Empty																								
958	Empty																								
959	Empty																								
960	Empty																								
961	Empty																								
962	Empty																								
963	Empty																								
964	Empty																								
965	Empty																								
966	Empty																								
967	Empty																								
968	Empty																								
969	Empty																								
970	Empty																								
971	Empty																								
972	Empty																								
973	Empty																								
974	Empty																								
975	Empty																								
976	Empty																								
977	Empty																								
978	Empty																								
979	Empty																								
980	Empty																								
981	Empty																								
982	Empty																								
983	Empty																								
984	Empty																								
985	Empty																								
986	Empty																								
987	Empty																								
988	Empty																								
989	Empty																								
990	Empty																								
991	Empty																								
992	Empty																								
993	Empty																								
994	Empty																								
995	Empty																								
996	Empty																								
997	Empty																								
998	Empty																								
999	Empty																								
1000	Empty																								
